dataset,index,target_mode,method,view,fraction,recall,budget,gold,ceiling
vt_h2_c3,0,full,DT_original,raw,0.05,0.23076923076923078,17,26,0.6538461538461539
vt_h2_c3,0,full,DT_original,raw,0.1,0.3076923076923077,33,26,1.0
vt_h2_c3,0,full,DT_original,raw,0.2,0.8076923076923077,66,26,1.0
vt_h2_c3,0,full,DT_original,density,0.05,0.2692307692307692,17,26,0.6538461538461539
vt_h2_c3,0,full,DT_original,density,0.1,0.5384615384615384,33,26,1.0
vt_h2_c3,0,full,DT_original,density,0.2,0.6538461538461539,66,26,1.0
vt_h2_c3,0,full,DT_target,raw,0.05,0.23076923076923078,17,26,0.6538461538461539
vt_h2_c3,0,full,DT_target,raw,0.1,0.3076923076923077,33,26,1.0
vt_h2_c3,0,full,DT_target,raw,0.2,0.8076923076923077,66,26,1.0
vt_h2_c3,0,full,DT_target,density,0.05,0.2692307692307692,17,26,0.6538461538461539
vt_h2_c3,0,full,DT_target,density,0.1,0.5384615384615384,33,26,1.0
vt_h2_c3,0,full,DT_target,density,0.2,0.6538461538461539,66,26,1.0
vt_h2_c3,0,full,DT_weighted_identity,raw,0.05,0.23076923076923078,17,26,0.6538461538461539
vt_h2_c3,0,full,DT_weighted_identity,raw,0.1,0.3076923076923077,33,26,1.0
vt_h2_c3,0,full,DT_weighted_identity,raw,0.2,0.8076923076923077,66,26,1.0
vt_h2_c3,0,full,DT_weighted_identity,density,0.05,0.2692307692307692,17,26,0.6538461538461539
vt_h2_c3,0,full,DT_weighted_identity,density,0.1,0.5384615384615384,33,26,1.0
vt_h2_c3,0,full,DT_weighted_identity,density,0.2,0.6538461538461539,66,26,1.0
vt_h2_c3,0,full,FT_K1,raw,0.05,0.38461538461538464,17,26,0.6538461538461539
vt_h2_c3,0,full,FT_K1,raw,0.1,0.5384615384615384,33,26,1.0
vt_h2_c3,0,full,FT_K1,raw,0.2,0.8076923076923077,66,26,1.0
vt_h2_c3,0,full,FT_K1,density,0.05,0.6538461538461539,17,26,0.6538461538461539
vt_h2_c3,0,full,FT_K1,density,0.1,0.6538461538461539,33,26,1.0
vt_h2_c3,0,full,FT_K1,density,0.2,1.0,66,26,1.0
vt_h2_c3,0,full,FT_K3,raw,0.05,0.34615384615384615,17,26,0.6538461538461539
vt_h2_c3,0,full,FT_K3,raw,0.1,0.5384615384615384,33,26,1.0
vt_h2_c3,0,full,FT_K3,raw,0.2,0.8076923076923077,66,26,1.0
vt_h2_c3,0,full,FT_K3,density,0.05,0.6538461538461539,17,26,0.6538461538461539
vt_h2_c3,0,full,FT_K3,density,0.1,0.6538461538461539,33,26,1.0
vt_h2_c3,0,full,FT_K3,density,0.2,1.0,66,26,1.0
vt_h2_c3,0,answer_conditioned,DT_target,raw,0.05,0.15384615384615385,17,26,0.6538461538461539
vt_h2_c3,0,answer_conditioned,DT_target,raw,0.1,0.19230769230769232,33,26,1.0
vt_h2_c3,0,answer_conditioned,DT_target,raw,0.2,0.2692307692307692,66,26,1.0
vt_h2_c3,0,answer_conditioned,DT_target,density,0.05,0.34615384615384615,17,26,0.6538461538461539
vt_h2_c3,0,answer_conditioned,DT_target,density,0.1,0.34615384615384615,33,26,1.0
vt_h2_c3,0,answer_conditioned,DT_target,density,0.2,0.34615384615384615,66,26,1.0
vt_h2_c3,0,answer_conditioned,FT_K1,raw,0.05,0.5,17,26,0.6538461538461539
vt_h2_c3,0,answer_conditioned,FT_K1,raw,0.1,0.6538461538461539,33,26,1.0
vt_h2_c3,0,answer_conditioned,FT_K1,raw,0.2,0.8076923076923077,66,26,1.0
vt_h2_c3,0,answer_conditioned,FT_K1,density,0.05,0.6538461538461539,17,26,0.6538461538461539
vt_h2_c3,0,answer_conditioned,FT_K1,density,0.1,1.0,33,26,1.0
vt_h2_c3,0,answer_conditioned,FT_K1,density,0.2,1.0,66,26,1.0
vt_h2_c3,0,answer_conditioned,FT_K3,raw,0.05,0.5,17,26,0.6538461538461539
vt_h2_c3,0,answer_conditioned,FT_K3,raw,0.1,0.6538461538461539,33,26,1.0
vt_h2_c3,0,answer_conditioned,FT_K3,raw,0.2,0.7692307692307693,66,26,1.0
vt_h2_c3,0,answer_conditioned,FT_K3,density,0.05,0.6538461538461539,17,26,0.6538461538461539
vt_h2_c3,0,answer_conditioned,FT_K3,density,0.1,1.0,33,26,1.0
vt_h2_c3,0,answer_conditioned,FT_K3,density,0.2,1.0,66,26,1.0
vt_h2_c3,0,answer_only,DT_target,raw,0.05,0.6538461538461539,17,26,0.6538461538461539
vt_h2_c3,0,answer_only,DT_target,raw,0.1,0.8076923076923077,33,26,1.0
vt_h2_c3,0,answer_only,DT_target,raw,0.2,0.9615384615384616,66,26,1.0
vt_h2_c3,0,answer_only,DT_target,density,0.05,0.6538461538461539,17,26,0.6538461538461539
vt_h2_c3,0,answer_only,DT_target,density,0.1,1.0,33,26,1.0
vt_h2_c3,0,answer_only,DT_target,density,0.2,1.0,66,26,1.0
vt_h2_c3,0,answer_only,FT_K1,raw,0.05,0.5769230769230769,17,26,0.6538461538461539
