model,dataset,index,method,profile,complete_support,budget_fraction,budget_unit,budget_tokens,spent_tokens,selected_sentences,supporting_facts_hit,gold_supporting_facts,pooling,target_mode,input_sha256,source_group,source_sha256
qwen3,hotpotqa_long,0,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,865,822,14,2,2,positive_sum,full,5c7082704d4e93a321fc731fd67da47442fb04fc8f347e2b23813f28cae37c49,symmetric_full_retest,acb55c6ab3ccbd4bc62a963f1903ff7fa062a243905396a29499a6ab7736766a
qwen3,hotpotqa_long,1,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,349,340,9,3,3,positive_sum,full,ee831b70d0620fa6da383ddfc30ac6be445c4c3432af087302b5731e64f259a3,symmetric_full_retest,5eadf381d4b50b84ba8e29bdb4c1d209974fe444fe312ae3728ff430fe0a820d
qwen3,hotpotqa_long,2,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,355,329,9,3,3,positive_sum,full,0bf5f0afce644fca614c061e4222c6ef9a3df5dcd165949b86c2c8c070a441f1,symmetric_full_retest,b48eacac0a32f5d9e371c25cd4b572ec3ad87a60123ca981f162993eb5be0262
qwen3,hotpotqa_long,3,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,284,263,8,2,2,positive_sum,full,5ef5a8b7d5f9f8663f0710d9977bd3f4fb4e77433b27e4ce4f42034819c9d06f,symmetric_full_retest,107c8bd961d2f8386ce47c62026d1c28068142da20c561b70f49c4944a7e6a05
qwen3,hotpotqa_long,4,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,356,351,10,3,3,positive_sum,full,c40c902d0794983fe6fdd350267594a796ca56f9025d59f3cd4cb0c2bd5b7192,symmetric_full_retest,31a43f2ba4eb025ed9b57302af5554ece20d1ae298e0d3006836da68d54f264a
qwen3,hotpotqa_long,5,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,525,497,15,3,3,positive_sum,full,119145def7cf40122190971427e159b55222f88f75367d933850edf949f0b239,symmetric_full_retest,2de4ccb1d26a0f0e5c5e560ea1a0aed3441b702e009b044ac6c918b9aa04b8b7
qwen3,hotpotqa_long,6,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,375,334,9,2,2,positive_sum,full,ecab5af27e55b0a167280f460cb8b8e1fd5d10c12dd239b79fa1f548e61067db,symmetric_full_retest,b0d7170aa575b29556aa5ac5b2ec3f706d09dd748ffadb468fadb9621a22e8fe
qwen3,hotpotqa_long,7,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,310,270,6,2,2,positive_sum,full,75b50ad20cec84944c262de9b75fa536a6d4d6c0ea93edb0aea1fc2480c92315,symmetric_full_retest,ad30c52ee520ae3953a0717066448e00922fac6bc8aab03a8f87edc73c89d799
qwen3,hotpotqa_long,8,DT,pv-layer-symmetric-v1,0,0.3,all_body_tokens,212,204,8,3,4,positive_sum,full,e3379b9b3929d623474f43a7124091f595fa110c7b34485e879d2a379f681ec7,symmetric_full_retest,34deba407c293e2712175d491ddd33f82a16e54e5af089f8b434d9a86e038ec0
qwen3,hotpotqa_long,9,DT,pv-layer-symmetric-v1,0,0.3,all_body_tokens,293,290,9,3,4,positive_sum,full,02fe29e4077b4756c9fc784faf459747bd5d17482ab2579435835328c229de8c,symmetric_full_retest,c85da36295e2e93e542b90bca317dfa67dea8c657edf51c4b06739998aed7970
qwen3,hotpotqa_long,10,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,387,344,8,4,4,positive_sum,full,bcb0ffc3da98e02b8456809a8cd349cbbcabe88e14fd251a737a3ef42af69a5e,symmetric_full_retest,01e08d3a5ae4cc5aa85330830995491a7a23fd9019586a7c866687d9a6e563cd
qwen3,hotpotqa_long,11,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,259,246,6,2,2,positive_sum,full,945e5716021f5886cc77f6f677956219f8d3c43cc3520c2bcb8e052b00d31ccb,symmetric_full_retest,3da6d597c7f1a67e31d7fae7acf523f873ec736fc1a2836ac4b9f82b242c6793
qwen3,hotpotqa_long,12,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,571,565,12,2,2,positive_sum,full,6e8b504cb97eaff570d1906a89713ba36449d1082a4c6e1183f352eec41e10fc,symmetric_full_retest,f53709ed2671496f7531f21363e732012ad28377e506051998095c6cdf131ca5
qwen3,hotpotqa_long,13,DT,pv-layer-symmetric-v1,0,0.3,all_body_tokens,520,499,9,1,2,positive_sum,full,87624a6d65f946be43a2bfec7ab7bad17aa1ddd9eda8cd716d7ffdb3a59cd703,symmetric_full_retest,00589907863a6f40d56924061962f3236f92add5a3e692c0d049de0ba4224811
qwen3,hotpotqa_long,14,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,400,377,9,2,2,positive_sum,full,78c72d6a4c42c09d96cc88d403de3480d2f2ae59151152fdd4e238847425f355,symmetric_full_retest,785edd61be832eb1ae42f95a9e66f0a97cab86c7799c72e74a11f338194d5428
qwen3,hotpotqa_long,15,DT,pv-layer-symmetric-v1,1,0.3,all_body_tokens,374,356,13,4,4,positive_sum,full,68c910036d86b9d7f594fac1d5aa87892b1c7d587b2e68dc08d9f9d5ffdcb0eb,symmetric_full_retest,5ee923922905bd3e5f89c61ef01fc89dbd06877a46eaf6718dbde0102aacebed
