dataset,index,method,recall,recall_metric,recall_fraction,recall_budget_unit,recall_target_mode,recall_input_sha256,recovery_attribution_seconds
vt_h2_c3,0,DT,0.6538461538461539,token_recall,0.1,eligible_body_tokens,answer_only,55e9ad16a26cd474bc86dcbfb1333a4234a898e69c34ecc641e4631ccfd628a2,11.849377825856209
vt_h2_c3,0,FT_K1,0.46153846153846156,token_recall,0.1,eligible_body_tokens,answer_only,55e9ad16a26cd474bc86dcbfb1333a4234a898e69c34ecc641e4631ccfd628a2,0.870686762034893
vt_h2_c3,0,ifr-tokenwise,0.7692307692307693,token_recall,0.1,eligible_body_tokens,answer_only,55e9ad16a26cd474bc86dcbfb1333a4234a898e69c34ecc641e4631ccfd628a2,4.410914413630962
vt_h2_c3,0,FT_K3,0.46153846153846156,token_recall,0.1,eligible_body_tokens,answer_only,55e9ad16a26cd474bc86dcbfb1333a4234a898e69c34ecc641e4631ccfd628a2,4.279514834284782
vt_h2_c3,1,DT,0.7407407407407407,token_recall,0.1,eligible_body_tokens,answer_only,3d28ea6063b0e19ac1fa8895fb3330e566c75832ccc8321df6c18a426e5d7897,1.203135684132576
vt_h2_c3,1,FT_K1,0.7407407407407407,token_recall,0.1,eligible_body_tokens,answer_only,3d28ea6063b0e19ac1fa8895fb3330e566c75832ccc8321df6c18a426e5d7897,0.6754446476697922
vt_h2_c3,1,ifr-tokenwise,0.7777777777777778,token_recall,0.1,eligible_body_tokens,answer_only,3d28ea6063b0e19ac1fa8895fb3330e566c75832ccc8321df6c18a426e5d7897,4.234119188040495
vt_h2_c3,1,FT_K3,0.7407407407407407,token_recall,0.1,eligible_body_tokens,answer_only,3d28ea6063b0e19ac1fa8895fb3330e566c75832ccc8321df6c18a426e5d7897,3.8160366602241993
vt_h2_c3,2,DT,0.8275862068965517,token_recall,0.1,eligible_body_tokens,answer_only,c6fd3785c98877e6f3b0a63c3762031fae71625ea8ec4edf5618e2b4652e2c72,1.210876502096653
vt_h2_c3,2,FT_K1,0.6896551724137931,token_recall,0.1,eligible_body_tokens,answer_only,c6fd3785c98877e6f3b0a63c3762031fae71625ea8ec4edf5618e2b4652e2c72,0.8403653539717197
vt_h2_c3,2,ifr-tokenwise,0.7931034482758621,token_recall,0.1,eligible_body_tokens,answer_only,c6fd3785c98877e6f3b0a63c3762031fae71625ea8ec4edf5618e2b4652e2c72,4.536245860159397
vt_h2_c3,2,FT_K3,0.6896551724137931,token_recall,0.1,eligible_body_tokens,answer_only,c6fd3785c98877e6f3b0a63c3762031fae71625ea8ec4edf5618e2b4652e2c72,1.173035617917776
vt_h2_c3,3,DT,0.7777777777777778,token_recall,0.1,eligible_body_tokens,answer_only,22c81996966d6cc2973f64bcf7c53c019509c6aaed0459f2e13a73f366d436ff,1.2056859396398067
