dataset,index,target_mode,method,view,fraction,recall,budget,gold,ceiling,origin
vt_h2_c3,11,answer_only,DT_target,raw,0.05,0.53125,17,32,0.53125,reserved_validation
vt_h2_c3,11,answer_only,DT_target,raw,0.1,0.8125,34,32,1.0,reserved_validation
vt_h2_c3,11,answer_only,DT_target,raw,0.2,0.96875,67,32,1.0,reserved_validation
vt_h2_c3,11,answer_only,DT_target,density,0.05,0.53125,17,32,0.53125,reserved_validation
vt_h2_c3,11,answer_only,DT_target,density,0.1,1.0,34,32,1.0,reserved_validation
vt_h2_c3,11,answer_only,DT_target,density,0.2,1.0,67,32,1.0,reserved_validation
vt_h2_c3,11,answer_only,FT_K1,raw,0.05,0.53125,17,32,0.53125,reserved_validation
vt_h2_c3,11,answer_only,FT_K1,raw,0.1,0.75,34,32,1.0,reserved_validation
vt_h2_c3,11,answer_only,FT_K1,raw,0.2,0.9375,67,32,1.0,reserved_validation
vt_h2_c3,11,answer_only,FT_K1,density,0.05,0.53125,17,32,0.53125,reserved_validation
vt_h2_c3,11,answer_only,FT_K1,density,0.1,1.0,34,32,1.0,reserved_validation
vt_h2_c3,11,answer_only,FT_K1,density,0.2,1.0,67,32,1.0,reserved_validation
vt_h2_c3,11,answer_only,FT_K3,raw,0.05,0.53125,17,32,0.53125,reserved_validation
vt_h2_c3,11,answer_only,FT_K3,raw,0.1,0.75,34,32,1.0,reserved_validation
vt_h2_c3,11,answer_only,FT_K3,raw,0.2,0.9375,67,32,1.0,reserved_validation
vt_h2_c3,11,answer_only,FT_K3,density,0.05,0.53125,17,32,0.53125,reserved_validation
vt_h2_c3,11,answer_only,FT_K3,density,0.1,1.0,34,32,1.0,reserved_validation
vt_h2_c3,11,answer_only,FT_K3,density,0.2,1.0,67,32,1.0,reserved_validation
vt_h2_c3,24,answer_only,DT_target,raw,0.05,0.5666666666666667,17,30,0.5666666666666667,reserved_validation
vt_h2_c3,24,answer_only,DT_target,raw,0.1,0.8333333333333334,34,30,1.0,reserved_validation
vt_h2_c3,24,answer_only,DT_target,raw,0.2,0.9666666666666667,67,30,1.0,reserved_validation
vt_h2_c3,24,answer_only,DT_target,density,0.05,0.5666666666666667,17,30,0.5666666666666667,reserved_validation
vt_h2_c3,24,answer_only,DT_target,density,0.1,1.0,34,30,1.0,reserved_validation
vt_h2_c3,24,answer_only,DT_target,density,0.2,1.0,67,30,1.0,reserved_validation
vt_h2_c3,24,answer_only,FT_K1,raw,0.05,0.5333333333333333,17,30,0.5666666666666667,reserved_validation
vt_h2_c3,24,answer_only,FT_K1,raw,0.1,0.7333333333333333,34,30,1.0,reserved_validation
vt_h2_c3,24,answer_only,FT_K1,raw,0.2,0.9333333333333333,67,30,1.0,reserved_validation
vt_h2_c3,24,answer_only,FT_K1,density,0.05,0.5666666666666667,17,30,0.5666666666666667,reserved_validation
vt_h2_c3,24,answer_only,FT_K1,density,0.1,1.0,34,30,1.0,reserved_validation
vt_h2_c3,24,answer_only,FT_K1,density,0.2,1.0,67,30,1.0,reserved_validation
vt_h2_c3,24,answer_only,FT_K3,raw,0.05,0.5333333333333333,17,30,0.5666666666666667,reserved_validation
vt_h2_c3,24,answer_only,FT_K3,raw,0.1,0.7,34,30,1.0,reserved_validation
vt_h2_c3,24,answer_only,FT_K3,raw,0.2,0.9333333333333333,67,30,1.0,reserved_validation
vt_h2_c3,24,answer_only,FT_K3,density,0.05,0.5666666666666667,17,30,0.5666666666666667,reserved_validation
vt_h2_c3,24,answer_only,FT_K3,density,0.1,1.0,34,30,1.0,reserved_validation
vt_h2_c3,24,answer_only,FT_K3,density,0.2,1.0,67,30,1.0,reserved_validation
vt_h2_c3,30,answer_only,DT_target,raw,0.05,0.5714285714285714,17,28,0.6071428571428571,reserved_validation
vt_h2_c3,30,answer_only,DT_target,raw,0.1,0.75,34,28,1.0,reserved_validation
vt_h2_c3,30,answer_only,DT_target,raw,0.2,0.8214285714285714,67,28,1.0,reserved_validation
vt_h2_c3,30,answer_only,DT_target,density,0.05,0.6071428571428571,17,28,0.6071428571428571,reserved_validation
vt_h2_c3,30,answer_only,DT_target,density,0.1,1.0,34,28,1.0,reserved_validation
vt_h2_c3,30,answer_only,DT_target,density,0.2,1.0,67,28,1.0,reserved_validation
vt_h2_c3,30,answer_only,FT_K1,raw,0.05,0.5357142857142857,17,28,0.6071428571428571,reserved_validation
vt_h2_c3,30,answer_only,FT_K1,raw,0.1,0.7142857142857143,34,28,1.0,reserved_validation
vt_h2_c3,30,answer_only,FT_K1,raw,0.2,0.8928571428571429,67,28,1.0,reserved_validation
vt_h2_c3,30,answer_only,FT_K1,density,0.05,0.6071428571428571,17,28,0.6071428571428571,reserved_validation
vt_h2_c3,30,answer_only,FT_K1,density,0.1,1.0,34,28,1.0,reserved_validation
vt_h2_c3,30,answer_only,FT_K1,density,0.2,1.0,67,28,1.0,reserved_validation
vt_h2_c3,30,answer_only,FT_K3,raw,0.05,0.5357142857142857,17,28,0.6071428571428571,reserved_validation
vt_h2_c3,30,answer_only,FT_K3,raw,0.1,0.7142857142857143,34,28,1.0,reserved_validation
vt_h2_c3,30,answer_only,FT_K3,raw,0.2,0.8928571428571429,67,28,1.0,reserved_validation
vt_h2_c3,30,answer_only,FT_K3,density,0.05,0.6071428571428571,17,28,0.6071428571428571,reserved_validation
vt_h2_c3,30,answer_only,FT_K3,density,0.1,1.0,34,28,1.0,reserved_validation
vt_h2_c3,30,answer_only,FT_K3,density,0.2,1.0,67,28,1.0,reserved_validation
