index,target_mode,method,policy,fraction,recall,f1,spent_all_tokens,excess_over_all_token_budget
0,full,DT_target,eligible_skip,0.05,1.0,0.5714285714285715,150,5
0,full,DT_target,all_tokens_skip,0.05,1.0,0.5714285714285715,145,0
0,full,DT_target,all_tokens_prefix,0.05,1.0,0.6666666666666666,137,0
0,full,DT_target,eligible_skip,0.1,1.0,0.3076923076923077,298,9
0,full,DT_target,all_tokens_skip,0.1,1.0,0.2857142857142857,288,0
0,full,DT_target,all_tokens_prefix,0.1,1.0,0.3636363636363636,257,0
0,full,DT_target,eligible_skip,0.2,1.0,0.1904761904761905,589,12
0,full,DT_target,all_tokens_skip,0.2,1.0,0.1904761904761905,576,0
0,full,DT_target,all_tokens_prefix,0.2,1.0,0.21052631578947367,549,0
0,full,FT_K1,eligible_skip,0.05,1.0,0.5714285714285715,150,5
0,full,FT_K1,all_tokens_skip,0.05,1.0,0.5714285714285715,145,0
0,full,FT_K1,all_tokens_prefix,0.05,1.0,0.6666666666666666,137,0
0,full,FT_K1,eligible_skip,0.1,1.0,0.3076923076923077,302,13
0,full,FT_K1,all_tokens_skip,0.1,1.0,0.33333333333333337,285,0
0,full,FT_K1,all_tokens_prefix,0.1,1.0,0.3636363636363636,277,0
0,full,FT_K1,eligible_skip,0.2,1.0,0.21052631578947367,583,6
0,full,FT_K1,all_tokens_skip,0.2,1.0,0.18181818181818182,575,0
0,full,FT_K1,all_tokens_prefix,0.2,1.0,0.2222222222222222,483,0
0,full,FT_K3,eligible_skip,0.05,1.0,0.5714285714285715,150,5
0,full,FT_K3,all_tokens_skip,0.05,1.0,0.5714285714285715,145,0
0,full,FT_K3,all_tokens_prefix,0.05,1.0,0.6666666666666666,137,0
0,full,FT_K3,eligible_skip,0.1,1.0,0.33333333333333337,305,16
0,full,FT_K3,all_tokens_skip,0.1,1.0,0.33333333333333337,285,0
0,full,FT_K3,all_tokens_prefix,0.1,1.0,0.4,256,0
0,full,FT_K3,eligible_skip,0.2,1.0,0.21052631578947367,583,6
0,full,FT_K3,all_tokens_skip,0.2,1.0,0.18181818181818182,575,0
0,full,FT_K3,all_tokens_prefix,0.2,1.0,0.2222222222222222,483,0
1,full,DT_target,eligible_skip,0.05,0.6666666666666666,0.8,52,0
1,full,DT_target,all_tokens_skip,0.05,0.6666666666666666,0.8,52,0
1,full,DT_target,all_tokens_prefix,0.05,0.6666666666666666,0.8,52,0
1,full,DT_target,eligible_skip,0.1,0.6666666666666666,0.4444444444444444,117,0
1,full,DT_target,all_tokens_skip,0.1,1.0,0.8571428571428571,117,0
1,full,DT_target,all_tokens_prefix,0.1,1.0,0.8571428571428571,117,0
1,full,DT_target,eligible_skip,0.2,1.0,0.4615384615384615,227,0
1,full,DT_target,all_tokens_skip,0.2,1.0,0.4615384615384615,227,0
1,full,DT_target,all_tokens_prefix,0.2,1.0,0.5,214,0
1,full,FT_K1,eligible_skip,0.05,0.6666666666666666,0.8,52,0
1,full,FT_K1,all_tokens_skip,0.05,0.6666666666666666,0.8,52,0
1,full,FT_K1,all_tokens_prefix,0.05,0.6666666666666666,0.8,52,0
1,full,FT_K1,eligible_skip,0.1,1.0,0.7499999999999999,115,0
1,full,FT_K1,all_tokens_skip,0.1,1.0,0.8571428571428571,117,0
1,full,FT_K1,all_tokens_prefix,0.1,1.0,0.8571428571428571,117,0
1,full,FT_K1,eligible_skip,0.2,1.0,0.5,222,0
1,full,FT_K1,all_tokens_skip,0.2,1.0,0.4615384615384615,231,0
1,full,FT_K1,all_tokens_prefix,0.2,1.0,0.5454545454545454,205,0
1,full,FT_K3,eligible_skip,0.05,0.6666666666666666,0.8,52,0
1,full,FT_K3,all_tokens_skip,0.05,0.6666666666666666,0.8,52,0
1,full,FT_K3,all_tokens_prefix,0.05,0.6666666666666666,0.8,52,0
1,full,FT_K3,eligible_skip,0.1,1.0,0.7499999999999999,115,0
1,full,FT_K3,all_tokens_skip,0.1,1.0,0.8571428571428571,117,0
1,full,FT_K3,all_tokens_prefix,0.1,1.0,0.8571428571428571,117,0
1,full,FT_K3,eligible_skip,0.2,1.0,0.5,222,0
