dataset,index,method,target,rise,endpoint_gap,mas
niah_mq_q2,11,DT_original,full,0.15851498637602182,183.5,
niah_mq_q2,11,DT_original,answer,0.0,-2.625,
niah_mq_q2,11,DT_original,answer_content,0.0,-3.375,
niah_mq_q2,11,DT_original,full_fp64,0.15848381909246193,184.08402061462402,
niah_mq_q2,11,DT_original,answer_fp64,0.0,-2.5947251319885254,
niah_mq_q2,11,DT_original,answer_content_fp64,0.0,-3.352348804473877,
niah_mq_q2,11,DT_original_restore_query,full,0.07277777777777776,67.5,
niah_mq_q2,11,DT_original_restore_query,answer,0.0,-1.9375,
niah_mq_q2,11,DT_original_restore_query,answer_content,0.0,-1.8125,
niah_mq_q2,11,DT_original_restore_query,full_fp64,0.07213825184172429,67.47736465930939,
niah_mq_q2,11,DT_original_restore_query,answer_fp64,0.0,-1.9218924045562744,
niah_mq_q2,11,DT_original_restore_query,answer_content_fp64,0.0,-1.7964613437652588,
niah_mq_q2,11,DT_original_only_query,full,0.22115384615384617,32.5,
niah_mq_q2,11,DT_original_only_query,answer,0.0,-0.5,
niah_mq_q2,11,DT_original_only_query,answer_content,0.0,-1.9375,
niah_mq_q2,11,DT_original_only_query,full_fp64,0.21870256590427442,32.603159070014954,
niah_mq_q2,11,DT_original_only_query,answer_fp64,0.0,-0.5074492692947388,
niah_mq_q2,11,DT_original_only_query,answer_content_fp64,0.0,-1.9002143144607544,
niah_mq_q2,11,FT_answer_K1,full,0.12908719346049047,183.5,
niah_mq_q2,11,FT_answer_K1,answer,0.0,-2.625,
niah_mq_q2,11,FT_answer_K1,answer_content,0.0,-3.375,
niah_mq_q2,11,FT_answer_K1,full_fp64,0.1290171743289661,184.08402061462402,
niah_mq_q2,11,FT_answer_K1,answer_fp64,0.0,-2.5947251319885254,
niah_mq_q2,11,FT_answer_K1,answer_content_fp64,0.0,-3.352348804473877,
niah_mq_q2,11,FT_answer_K1_restore_query,full,0.05981481481481481,67.5,
niah_mq_q2,11,FT_answer_K1_restore_query,answer,0.0,-1.9375,
niah_mq_q2,11,FT_answer_K1_restore_query,answer_content,0.0,-1.8125,
