index,target_mode,method,view,fraction,recall,budget,gold_tokens,ceiling
0,full,DT_target,raw_cached,0.05,0.4090909090909091,138,66,1
0,full,DT_target,raw_cached,0.1,0.6666666666666666,275,66,1
0,full,DT_target,raw_cached,0.2,0.7424242424242424,550,66,1
0,full,DT_target,raw_restored,0.05,0.4090909090909091,138,66,1
0,full,DT_target,raw_restored,0.1,0.6666666666666666,275,66,1
0,full,DT_target,raw_restored,0.2,0.7424242424242424,550,66,1
0,full,DT_target,regex_cached,0.05,1.0,138,66,1
0,full,DT_target,regex_cached,0.1,1.0,275,66,1
0,full,DT_target,regex_cached,0.2,1.0,550,66,1
0,full,DT_target,regex_restored,0.05,1.0,138,66,1
0,full,DT_target,regex_restored,0.1,1.0,275,66,1
0,full,DT_target,regex_restored,0.2,1.0,550,66,1
0,full,DT_target,regex_anchor_restored,0.05,1.0,138,66,1
0,full,DT_target,regex_anchor_restored,0.1,1.0,275,66,1
0,full,DT_target,regex_anchor_restored,0.2,1.0,550,66,1
0,full,DT_target,native_token_restored,0.05,1.0,138,66,1
0,full,DT_target,native_token_restored,0.1,1.0,275,66,1
0,full,DT_target,native_token_restored,0.2,1.0,550,66,1
0,full,FT_K1,raw_cached,0.05,0.6818181818181818,138,66,1
0,full,FT_K1,raw_cached,0.1,0.8939393939393939,275,66,1
0,full,FT_K1,raw_cached,0.2,0.9696969696969697,550,66,1
0,full,FT_K1,raw_restored,0.05,0.6818181818181818,138,66,1
0,full,FT_K1,raw_restored,0.1,0.8939393939393939,275,66,1
0,full,FT_K1,raw_restored,0.2,0.9696969696969697,550,66,1
0,full,FT_K1,regex_cached,0.05,0.9848484848484849,138,66,1
0,full,FT_K1,regex_cached,0.1,1.0,275,66,1
0,full,FT_K1,regex_cached,0.2,1.0,550,66,1
0,full,FT_K1,regex_restored,0.05,0.9848484848484849,138,66,1
0,full,FT_K1,regex_restored,0.1,1.0,275,66,1
0,full,FT_K1,regex_restored,0.2,1.0,550,66,1
0,full,FT_K1,regex_anchor_restored,0.05,1.0,138,66,1
0,full,FT_K1,regex_anchor_restored,0.1,1.0,275,66,1
0,full,FT_K1,regex_anchor_restored,0.2,1.0,550,66,1
0,full,FT_K1,native_token_restored,0.05,1.0,138,66,1
0,full,FT_K1,native_token_restored,0.1,1.0,275,66,1
0,full,FT_K1,native_token_restored,0.2,1.0,550,66,1
0,full,FT_K3,raw_cached,0.05,0.696969696969697,138,66,1
0,full,FT_K3,raw_cached,0.1,0.9090909090909091,275,66,1
0,full,FT_K3,raw_cached,0.2,0.9848484848484849,550,66,1
0,full,FT_K3,raw_restored,0.05,0.696969696969697,138,66,1
0,full,FT_K3,raw_restored,0.1,0.9090909090909091,275,66,1
0,full,FT_K3,raw_restored,0.2,0.9848484848484849,550,66,1
0,full,FT_K3,regex_cached,0.05,0.9848484848484849,138,66,1
0,full,FT_K3,regex_cached,0.1,1.0,275,66,1
0,full,FT_K3,regex_cached,0.2,1.0,550,66,1
0,full,FT_K3,regex_restored,0.05,0.9848484848484849,138,66,1
0,full,FT_K3,regex_restored,0.1,1.0,275,66,1
0,full,FT_K3,regex_restored,0.2,1.0,550,66,1
0,full,FT_K3,regex_anchor_restored,0.05,1.0,138,66,1
0,full,FT_K3,regex_anchor_restored,0.1,1.0,275,66,1
0,full,FT_K3,regex_anchor_restored,0.2,1.0,550,66,1
0,full,FT_K3,native_token_restored,0.05,1.0,138,66,1
0,full,FT_K3,native_token_restored,0.1,1.0,275,66,1
0,full,FT_K3,native_token_restored,0.2,1.0,550,66,1
1,full,DT_target,raw_cached,0.05,0.3333333333333333,59,84,0.7023809523809523
1,full,DT_target,raw_cached,0.1,0.5595238095238095,117,84,1
1,full,DT_target,raw_cached,0.2,0.6309523809523809,234,84,1
1,full,DT_target,raw_restored,0.05,0.3333333333333333,59,84,0.7023809523809523
1,full,DT_target,raw_restored,0.1,0.5595238095238095,117,84,1
1,full,DT_target,raw_restored,0.2,0.6309523809523809,234,84,1
1,full,DT_target,regex_cached,0.05,0.5714285714285714,59,84,0.7023809523809523
1,full,DT_target,regex_cached,0.1,0.6547619047619048,117,84,1
1,full,DT_target,regex_cached,0.2,1.0,234,84,1
1,full,DT_target,regex_restored,0.05,0.5714285714285714,59,84,0.7023809523809523
1,full,DT_target,regex_restored,0.1,0.6547619047619048,117,84,1
1,full,DT_target,regex_restored,0.2,1.0,234,84,1
1,full,DT_target,regex_anchor_restored,0.05,0.5595238095238095,59,84,0.7023809523809523
1,full,DT_target,regex_anchor_restored,0.1,0.6785714285714286,117,84,1
1,full,DT_target,regex_anchor_restored,0.2,1.0,234,84,1
1,full,DT_target,native_token_restored,0.05,0.5595238095238095,59,84,0.7023809523809523
1,full,DT_target,native_token_restored,0.1,0.6428571428571429,117,84,1
1,full,DT_target,native_token_restored,0.2,1.0,234,84,1
1,full,FT_K1,raw_cached,0.05,0.3333333333333333,59,84,0.7023809523809523
1,full,FT_K1,raw_cached,0.1,0.47619047619047616,117,84,1
1,full,FT_K1,raw_cached,0.2,0.6428571428571429,234,84,1
1,full,FT_K1,raw_restored,0.05,0.3333333333333333,59,84,0.7023809523809523
1,full,FT_K1,raw_restored,0.1,0.47619047619047616,117,84,1
1,full,FT_K1,raw_restored,0.2,0.6428571428571429,234,84,1
1,full,FT_K1,regex_cached,0.05,0.5714285714285714,59,84,0.7023809523809523
1,full,FT_K1,regex_cached,0.1,1.0,117,84,1
1,full,FT_K1,regex_cached,0.2,1.0,234,84,1
1,full,FT_K1,regex_restored,0.05,0.5714285714285714,59,84,0.7023809523809523
1,full,FT_K1,regex_restored,0.1,1.0,117,84,1
1,full,FT_K1,regex_restored,0.2,1.0,234,84,1
1,full,FT_K1,regex_anchor_restored,0.05,0.5595238095238095,59,84,0.7023809523809523
1,full,FT_K1,regex_anchor_restored,0.1,1.0,117,84,1
1,full,FT_K1,regex_anchor_restored,0.2,1.0,234,84,1
1,full,FT_K1,native_token_restored,0.05,0.5595238095238095,59,84,0.7023809523809523
1,full,FT_K1,native_token_restored,0.1,1.0,117,84,1
1,full,FT_K1,native_token_restored,0.2,1.0,234,84,1
1,full,FT_K3,raw_cached,0.05,0.34523809523809523,59,84,0.7023809523809523
1,full,FT_K3,raw_cached,0.1,0.47619047619047616,117,84,1
1,full,FT_K3,raw_cached,0.2,0.6547619047619048,234,84,1
1,full,FT_K3,raw_restored,0.05,0.34523809523809523,59,84,0.7023809523809523
1,full,FT_K3,raw_restored,0.1,0.47619047619047616,117,84,1
